step,cafe_frobenius_norm,cafe_normalized_energy,passive_frobenius_norm,passive_normalized_energy,persistent_norm,working_norm,scratchpad_norm,unbounded_energy
42800,0.0203,0.00011,0.03197,0.00018,0.0157,0.0108,0.00701,999999.0
43000,0.02753,0.00015,0.03214,0.00018,0.02153,0.01494,0.00844,999999.0
43200,0.02909,0.00016,0.03341,0.00018,0.02287,0.0152,0.00959,999999.0
43400,0.02094,0.00012,0.03217,0.00018,0.01661,0.01134,0.00582,999999.0
43600,0.02653,0.00015,0.03298,0.00018,0.02125,0.01321,0.00882,999999.0
43800,0.01749,0.0001,0.03287,0.00018,0.0137,0.0096,0.00507,999999.0
44000,0.03221,0.00018,0.03322,0.00018,0.02507,0.01747,0.0102,999999.0
44200,0.0232,0.00013,0.03266,0.00018,0.01797,0.01243,0.00781,999999.0
44400,0.02585,0.00014,0.03263,0.00018,0.02048,0.01378,0.00769,999999.0
44600,0.02165,0.00012,0.03246,0.00018,0.01676,0.0119,0.00678,999999.0
44800,0.0213,0.00012,0.03275,0.00018,0.01611,0.01197,0.00716,999999.0
45000,0.02398,0.00013,0.03338,0.00018,0.0184,0.0134,0.00753,999999.0
45200,0.0177,0.0001,0.0334,0.00018,0.01396,0.00931,0.00564,999999.0
45400,0.03186,0.00018,0.03276,0.00018,0.02407,0.01805,0.01048,999999.0
45600,0.0209,0.00012,0.03246,0.00018,0.01611,0.0118,0.00617,999999.0
45800,0.0238,0.00013,0.03213,0.00018,0.01871,0.01259,0.00763,999999.0
46000,0.02174,0.00012,0.0316,0.00017,0.0169,0.01147,0.00746,999999.0
46200,0.01912,0.00011,0.03293,0.00018,0.01477,0.01058,0.00598,999999.0
46400,0.02754,0.00015,0.03245,0.00018,0.02157,0.01429,0.00944,999999.0
46600,0.02617,0.00014,0.03302,0.00018,0.02078,0.01358,0.00828,999999.0
46800,0.01727,0.0001,0.03188,0.00018,0.01319,0.00938,0.00602,999999.0
47000,0.02614,0.00014,0.03326,0.00018,0.02068,0.01407,0.0076,999999.0
47200,0.02238,0.00012,0.03346,0.00018,0.01753,0.01207,0.00692,999999.0
47400,0.02579,0.00014,0.03296,0.00018,0.02019,0.01409,0.00769,999999.0
47600,0.02617,0.00014,0.03326,0.00018,0.01963,0.01446,0.00952,999999.0
47800,0.02153,0.00012,0.03347,0.00018,0.01684,0.01146,0.00697,999999.0
48000,0.03018,0.00017,0.03155,0.00017,0.02398,0.01551,0.00975,999999.0
